19.000 18.000 1.000 1.000 1.000 2.000 1.000 905.000 5.260 0.167 0.666 0.750 0.500 0.438 0.604
10.000 26.000 2.000 6.000 1.000 2.000 1.000 380.000 6.833 0.350 0.875 1.000 0.249 0.521 0.716
20.000 20.000 1.000 3.000 1.000 1.000 1.000 656.000 6.827 0.666 0.750 0.750 0.500 0.416 0.917
12.000 22.000 1.000 5.000 1.000 2.000 1.000 347.000 8.290 0.791 0.875 1.000 0.500 0.583 1.000
14.000 24.000 1.000 5.000 2.000 1.000 1.000 1178.000 7.917 1.000 0.791 0.500 0.749 1.000 0.520
11.000 23.000 1.000 5.000 4.000 1.000 1.000 275.000 4.740 0.375 0.458 0.500 0.500 0.604 0.312
15.000 59.000 1.000 8.000 1.000 1.000 1.000 755.000 7.137 0.552 0.812 0.750 0.749 0.760 0.671
12.000 25.000 1.000 7.000 1.000 1.000 1.000 536.000 7.817 0.721 0.812 1.000 0.500 0.614 0.903
19.000 39.000 2.000 8.000 1.000 3.000 1.000 807.000 5.347 0.683 0.500 0.500 0.249 0.521 0.445
16.000 33.000 1.000 5.000 4.000 1.000 1.000 791.000 6.923 0.723 0.500 0.750 1.000 0.938 0.549
